user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
thetrapbaddie,6.807785941366687e+18,6.92190355648414e+18,Customizing Acrylic 💫💅🏻 #fyp #for#nailtech #nailtoturial #nails #nail #nailsartvideos,1611631279.0,20.0,https://www.tiktok.com/@thetrapbaddie/video/6921903556484140293?lang=en,11700.0,15.0,42.0,282700.0
thetrapbaddie,6.807785941366687e+18,6.920799229845818e+18,He was OVVERR IT 😂😂 #fyp #foryou #nailtech #nailtutorial #nails,1611374159.0,7.0,https://www.tiktok.com/@thetrapbaddie/video/6920799229845818630?lang=en,17600.0,283.0,84.0,96500.0
thetrapbaddie,6.807785941366687e+18,6.920772009513504e+18,Dm to book with me 💞💅🏻✨🥰  #fyp #nails #nailtech #nailtutorial,1611367817.0,19.0,https://www.tiktok.com/@thetrapbaddie/video/6920772009513504005?lang=en,270.0,4.0,10.0,2185.0
thetrapbaddie,6.807785941366687e+18,6.917481239540747e+18,Follow my insta to book w me💞 I always get canceled on last min :( La area! #nails #nailtech #nailtutorial #nail #fyp #foryou #lanailtech #lanails #f,1610601640.0,20.0,https://www.tiktok.com/@thetrapbaddie/video/6917481239540747526?lang=en,421.0,1.0,7.0,5690.0
thetrapbaddie,6.807785941366687e+18,6.917349109137542e+18,How it is asking my boyfriend to record me,1610570860.0,59.0,https://www.tiktok.com/@thetrapbaddie/video/6917349109137542405?lang=en,41700.0,64.0,99.0,226800.0
thetrapbaddie,6.807785941366687e+18,6.914396464814771e+18,Who would purchase these if I put them up on my website?💖 #viral #fypage #foryoupage #nails #nail #nailtech #nailtoturial #foryoupage #nailsartvideos,1609883393.0,36.0,https://www.tiktok.com/@thetrapbaddie/video/6914396464814771462?lang=en,694.0,1.0,15.0,5739.0
thetrapbaddie,6.807785941366687e+18,6.914386752098602e+18,La area 📍 Dm @jnailedyou to book your appointment 💕 #nails #nailtech #nailtoturial #fyp #foryoupage #foryourpage #fory #nail #nailsartvideos #foryou,1609881131.0,14.0,https://www.tiktok.com/@thetrapbaddie/video/6914386752098602246?lang=en,234.0,1.0,7.0,2433.0
thetrapbaddie,6.807785941366687e+18,6.91402400501182e+18,Cant wait to try these. Dm @jnailedyou on insta to book your appointment 💕 La area. #nailtech #nails #fyp #foryoupage #nailsupply #viral #valentine,1609796673.0,33.0,https://www.tiktok.com/@thetrapbaddie/video/6914024005011819781?lang=en,169.0,0.0,7.0,2145.0
thetrapbaddie,6.807785941366687e+18,6.913440394256698e+18,Link in bio babes💕 Everything will be on sale till Feb 1!! #fyp #foryoupage #foryourpage #nailtech #nail #nails #nailtutorial #nailsupply #valentine,1609660820.0,23.0,https://www.tiktok.com/@thetrapbaddie/video/6913440394256698630?lang=en,6055.0,98.0,93.0,30700.0
thetrapbaddie,6.807785941366687e+18,6.908827952767602e+18,Comment for final results😍 #nails #trending #nailtutorial #nailtech #nailartistkim #nailthoughts #nailsart #nailsupply #fyp #foryou #viral #fy #fypシ,1608586874.0,54.0,https://www.tiktok.com/@thetrapbaddie/video/6908827952767601926?lang=en,1740.0,0.0,11.0,13200.0
thetrapbaddie,6.807785941366687e+18,6.906565814728674e+18,Use code TT for $ off!! Link in bio💖 Super low prices! #fyp #nails #nail #nailtech #nailart #nailsupply #foryou #fyp #fy #smallbusinesscheck #la #fya,1608060185.0,6.0,https://www.tiktok.com/@thetrapbaddie/video/6906565814728674565?lang=en,371.0,4.0,9.0,6500.0
thetrapbaddie,6.807785941366687e+18,6.906337411031158e+18,Dm my insta @jnailedyou to book your appointment! #nails #nailtech #nailtutorial #nailsupply #nailartistkim #fyp #foryou #foryoupage #fy #nail #la #sg,1608007012.0,20.0,https://www.tiktok.com/@thetrapbaddie/video/6906337411031158021?lang=en,818.0,1.0,2.0,9816.0
thetrapbaddie,6.807785941366687e+18,6.904732283824082e+18,Dm to book your appointment 💕 #nails #nailtutorial #nailthoughts #fyp #nailtech #fy #foryou #nailsupplies #foryoupage #nail #nailsartvideos #xlnails,1607633281.0,17.0,https://www.tiktok.com/@thetrapbaddie/video/6904732283824082182?lang=en,769.0,6.0,7.0,4554.0
thetrapbaddie,6.807785941366687e+18,6.904725552742059e+18,Dont ruin your nails like me! 😣 #nailtech #nails #nailthoughts #naila #fyp #fy #foryoupage #foryou #nailtutorial #nailsupply #nailhacks #nail,1607631714.0,59.0,https://www.tiktok.com/@thetrapbaddie/video/6904725552742059269?lang=en,225.0,0.0,1.0,3503.0
